orders,batch_size,steps_per_epoch,epochs,learning_rate,learning_decay_rate,rotation_range
31,5,1,1,5.2e-05,1e-05,90
444,5,1,1,5.2e-05,1e-05,90
19,16,70,100,6e-05,1e-05,90
19,16,70,100,6e-05,1e-05,90
20,16,70,100,6e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
19,12,60,60,6e-05,1e-05,90
20,12,60,60,6e-05,1e-05,90
21,12,60,60,6.4e-05,1e-05,90
1,5,60,60,4.5e-05,5.2e-05,180
2,5,60,60,4.5e-05,5.3e-05,180
3,5,60,60,4.5e-05,5.4e-05,180
4,8,60,60,4.5e-05,5.2e-05,180
5,8,60,60,4.5e-05,5.3e-05,180
6,8,60,60,4.5e-05,5.4e-05,180
7,12,60,60,4.5e-05,6e-05,180
8,12,60,60,4.5e-05,5.8e-05,180
9,12,60,60,4.5e-05,5.6e-05,180
10,12,60,60,5e-05,5.6e-05,180
11,12,60,60,6e-05,0.0001,180
12,12,60,60,4.5e-05,0.0,180
13,16,60,60,4.5e-05,0.0,180
16,16,80,80,4.5e-05,4.5e-05,180
16,5,70,70,5e-05,1e-05,180
16,5,70,70,5e-05,1e-05,180
17,16,80,80,4.5e-05,4.5e-05,180
18,16,80,80,5e-05,4e-05,180
19,16,80,80,5e-05,4.5e-05,180
20,16,80,80,4.5e-05,4e-05,180
21,16,80,80,5.5e-05,4e-05,180
22,16,80,80,5.6e-05,4e-05,180
23,16,80,80,4.8e-05,4e-05,180
24,16,80,80,5.2e-05,4.2e-05,180
25,16,80,80,5.4e-05,4.4e-05,180
26,16,80,80,5.6e-05,4.6e-05,180
27,16,80,80,5.8e-05,4.8e-05,180
28,16,80,80,4e-05,4e-05,180
29,16,80,80,4.7e-05,4.2e-05,180
30,16,80,80,3.8e-05,4e-05,180
31,16,80,80,3.8e-05,3.8e-05,180
32,16,80,80,3.8e-05,3.4e-05,180
33,16,80,80,3.8e-05,3.6e-05,180
34,16,80,80,4.5e-05,3.8e-05,180
35,16,80,80,4.5e-05,3.6e-05,180
36,16,80,80,4.5e-05,3.4e-05,180
37,16,80,80,4.5e-05,3.2e-05,180
38,16,80,80,4.5e-05,3e-05,180
39,16,80,80,4.6e-05,2.8e-05,180
40,16,80,80,4.6e-05,3.8e-05,180
41,16,80,80,4.6e-05,3.8e-05,180
42,16,80,80,4.6e-05,4.2e-05,180
43,16,80,80,4.8e-05,4.8e-05,180
44,16,80,80,4.8e-05,5.2e-05,180
45,16,80,80,4.8e-05,6e-05,180
46,16,80,80,4.8e-05,6.4e-05,180
47,16,80,80,4.8e-05,6.8e-05,180
48,16,80,80,4.8e-05,8.8e-05,180
49,16,80,80,4.8e-05,7.2e-05,180
50,16,80,80,4.8e-05,7.6e-05,180
51,16,80,80,4.8e-05,8e-05,180
52,16,80,80,4.8e-05,8.4e-05,180
53,16,80,80,4.8e-05,9.2e-05,180
54,16,80,80,4.8e-05,1e-05,180
55,16,80,80,4.8e-05,1.5e-05,180
52024101,8,70,70,4.5e-05,5e-06,180
